Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
46,Goosebumps,"$158,260,952","$80,080,379",50.6%,"$78,180,573",49.4%,2015.csv,2015
47,Ip Man 3,"$156,954,938","$2,679,437",1.7%,"$154,275,501",98.3%,2015.csv,2015
48,The Hateful Eight,"$155,760,117","$54,117,416",34.7%,"$101,642,701",65.3%,2015.csv,2015
49,Gods of Egypt,"$150,680,864","$31,153,464",20.7%,"$119,527,400",79.3%,2015.csv,2015
50,The Last Witch Hunter,"$146,936,910","$27,367,660",18.6%,"$119,569,250",81.4%,2015.csv,2015
51,Trainwreck,"$140,795,793","$110,212,700",78.3%,"$30,583,093",21.7%,2015.csv,2015
52,Mr. Six,"$139,191,345","$1,415,450",1%,"$137,775,895",99%,2015.csv,2015
53,Point Break,"$133,718,711","$28,782,481",21.5%,"$104,936,230",78.5%,2015.csv,2015
54,The Big Short,"$133,440,870","$70,259,870",52.7%,"$63,181,000",47.3%,2015.csv,2015
55,Pan,"$128,388,320","$35,088,320",27.3%,"$93,300,000",72.7%,2015.csv,2015
56,Detective Chinatown,"$125,842,935","$474,252",0.4%,"$125,368,683",99.6%,2015.csv,2015
57,Wolf Totem,"$125,837,070","$210,591",0.2%,"$125,626,479",99.8%,2015.csv,2015
58,Ride Along 2,"$124,605,297","$91,221,830",73.2%,"$33,383,467",26.8%,2015.csv,2015
59,Dragon Blade,"$122,593,849","$74,068",<0.1%,"$122,519,781",99.9%,2015.csv,2015
60,Magic Mike XXL,"$117,813,057","$66,013,057",56%,"$51,800,000",44%,2015.csv,2015
61,Insidious: Chapter 3,"$112,983,889","$52,218,558",46.2%,"$60,765,331",53.8%,2015.csv,2015
62,Get Hard,"$111,711,453","$90,411,453",80.9%,"$21,300,000",19.1%,2015.csv,2015
63,The 5th Wave,"$109,906,372","$34,916,787",31.8%,"$74,989,585",68.2%,2015.csv,2015
64,Paul Blart: Mall Cop 2,"$107,588,225","$71,038,190",66%,"$36,550,035",34%,2015.csv,2015
65,Vacation,"$107,228,221","$58,884,188",54.9%,"$48,344,033",45.1%,2015.csv,2015
66,The Man from U.N.C.L.E.,"$107,045,109","$45,445,109",42.5%,"$61,600,000",57.5%,2015.csv,2015
67,Shaun the Sheep Movie,"$106,209,378","$19,375,982",18.2%,"$86,833,396",81.8%,2015.csv,2015
68,Sisters,"$105,011,053","$87,044,645",82.9%,"$17,966,408",17.1%,2015.csv,2015
69,Chappie,"$102,811,889","$31,569,268",30.7%,"$71,242,621",69.3%,2015.csv,2015
70,Joy,"$101,134,059","$56,451,232",55.8%,"$44,682,827",44.2%,2015.csv,2015
71,Black Mass,"$99,775,678","$62,575,678",62.7%,"$37,200,000",37.3%,2015.csv,2015
72,Spotlight,"$98,690,254","$45,055,776",45.7%,"$53,634,478",54.3%,2015.csv,2015
73,Devil and Angel,"$98,599,942","$131,058",0.1%,"$98,468,884",99.9%,2015.csv,2015
74,The Visit,"$98,450,062","$65,206,105",66.2%,"$33,243,957",33.8%,2015.csv,2015
75,The Little Prince,"$97,571,250","$1,339,152",1.4%,"$96,232,098",98.6%,2015.csv,2015
76,Amsal,"$96,119,773","$1,904,682",2%,"$94,215,091",98%,2015.csv,2015
77,Poltergeist,"$95,437,994","$47,425,125",49.7%,"$48,012,869",50.3%,2015.csv,2015
78,Veteran,"$94,393,020","$1,200,627",1.3%,"$93,192,393",98.7%,2015.csv,2015
79,In the Heart of the Sea,"$93,920,758","$25,020,758",26.6%,"$68,900,000",73.4%,2015.csv,2015
80,Kill Zone 2,"$93,638,358","$11,998",<0.1%,"$93,626,360",100%,2015.csv,2015
81,Southpaw,"$91,970,827","$52,421,953",57%,"$39,548,874",43%,2015.csv,2015
82,The Second Best Exotic Marigold Hotel,"$85,978,266","$33,078,266",38.5%,"$52,900,000",61.5%,2015.csv,2015
83,Paper Towns,"$85,512,300","$32,000,304",37.4%,"$53,511,996",62.6%,2015.csv,2015
84,Sicario,"$84,872,444","$46,889,293",55.2%,"$37,983,151",44.8%,2015.csv,2015
85,Hitman: Agent 47,"$82,347,656","$22,467,450",27.3%,"$59,880,206",72.7%,2015.csv,2015
86,Go Away Mr Tumour,"$80,606,893","$286,639",0.4%,"$80,320,254",99.6%,2015.csv,2015
87,The Wedding Ringer,"$79,799,880","$64,460,211",80.8%,"$15,339,669",19.2%,2015.csv,2015
88,Paranormal Activity: The Ghost Dimension,"$78,903,124","$18,300,124",23.2%,"$60,603,000",76.8%,2015.csv,2015
89,Bajrangi Bhaijaan,"$75,547,184","$8,178,001",10.8%,"$67,369,183",89.2%,2015.csv,2015
90,War Room,"$73,256,266","$67,790,117",92.5%,"$5,466,149",7.5%,2015.csv,2015
91,The Transporter Refuelled,"$72,629,670","$16,029,670",22.1%,"$56,600,000",77.9%,2015.csv,2015
92,Run All Night,"$71,561,644","$26,461,644",37%,"$45,100,000",63%,2015.csv,2015
93,13 Hours,"$69,411,370","$52,853,219",76.1%,"$16,558,151",23.9%,2015.csv,2015
94,Running Man,"$68,782,475","$310,978",0.5%,"$68,471,497",99.5%,2015.csv,2015
95,The Age of Adaline,"$65,663,276","$42,629,776",64.9%,"$23,033,500",35.1%,2015.csv,2015
96,Zhongkui: Snow Girl and the Dark Crystal,"$64,325,947","$165,428",0.3%,"$64,160,519",99.7%,2015.csv,2015
97,The Danish Girl,"$64,191,523","$11,114,018",17.3%,"$53,077,505",82.7%,2015.csv,2015
98,The Boy,"$64,188,367","$35,819,556",55.8%,"$28,368,811",44.2%,2015.csv,2015
99,The Longest Ride,"$62,944,815","$37,446,117",59.5%,"$25,498,698",40.5%,2015.csv,2015
100,Unfriended,"$62,882,090","$32,482,090",51.7%,"$30,400,000",48.3%,2015.csv,2015
101,Brooklyn,"$62,076,141","$38,322,743",61.7%,"$23,753,398",38.3%,2015.csv,2015
102,"Dragon Ball Z: Resurrection ""F""","$61,768,190","$8,008,363",13%,"$53,759,827",87%,2015.csv,2015
103,Woman in Gold,"$61,619,773","$33,307,793",54.1%,"$28,311,980",45.9%,2015.csv,2015
104,Krampus,"$61,548,707","$42,725,475",69.4%,"$18,823,232",30.6%,2015.csv,2015
105,The Perfect Guy,"$60,273,173","$57,027,435",94.6%,"$3,245,738",5.4%,2015.csv,2015
106,Forever Young,"$59,981,902","$149,761",0.2%,"$59,832,141",99.8%,2015.csv,2015
107,Miss Granny,"$59,396,311","$234,573",0.4%,"$59,161,738",99.6%,2015.csv,2015
108,The Gift,"$58,978,653","$43,787,265",74.2%,"$15,191,388",25.8%,2015.csv,2015
109,No Escape,"$54,418,872","$27,288,872",50.1%,"$27,130,000",49.9%,2015.csv,2015
110,Sinister 2,"$53,329,150","$27,740,955",52%,"$25,588,195",48%,2015.csv,2015
111,Prem Ratan Dhan Payo,"$52,715,771","$4,364,639",8.3%,"$48,351,132",91.7%,2015.csv,2015
112,The Boy Next Door,"$52,425,855","$35,423,380",67.6%,"$17,002,475",32.4%,2015.csv,2015
113,The Night Before,"$52,395,996","$43,047,372",82.2%,"$9,348,624",17.8%,2015.csv,2015
114,Hot Pursuit,"$51,380,201","$34,580,201",67.3%,"$16,800,000",32.7%,2015.csv,2015
115,The Himalayas,"$50,544,493","$696,717",1.4%,"$49,847,776",98.6%,2015.csv,2015
116,The Boy and the Beast,"$49,714,378","$490,643",1%,"$49,223,735",99%,2015.csv,2015
117,Surprise,"$49,567,466",-,-,"$49,567,466",100%,2015.csv,2015
118,Entourage,"$49,263,404","$32,363,404",65.7%,"$16,900,000",34.3%,2015.csv,2015
119,The Woman in Black 2: Angel of Death,"$48,854,305","$26,501,323",54.2%,"$22,352,982",45.8%,2015.csv,2015
120,Concussion,"$48,623,572","$34,542,474",71%,"$14,081,098",29%,2015.csv,2015
121,Mortdecai,"$47,275,695","$7,696,134",16.3%,"$39,579,561",83.7%,2015.csv,2015
122,Let's Get Married,"$45,972,724","$462,918",1%,"$45,509,806",99%,2015.csv,2015
123,Somewhere Only We Know,"$45,737,711","$482,341",1.1%,"$45,255,370",98.9%,2015.csv,2015
124,"McFarland, USA","$45,710,059","$44,482,410",97.3%,"$1,227,649",2.7%,2015.csv,2015
125,Hero,"$45,565,534","$88,675",0.2%,"$45,476,859",99.8%,2015.csv,2015
126,Still Alice,"$44,779,195","$18,754,371",41.9%,"$26,024,824",58.1%,2015.csv,2015
127,Max,"$43,967,255","$42,656,255",97%,"$1,311,000",3%,2015.csv,2015
128,The Duff,"$43,709,744","$34,030,343",77.9%,"$9,679,401",22.1%,2015.csv,2015
129,Legend,"$42,972,994","$1,872,994",4.4%,"$41,100,000",95.6%,2015.csv,2015
130,The Gallows,"$42,964,410","$22,764,410",53%,"$20,200,000",47%,2015.csv,2015
131,Love the Coopers,"$42,426,912","$26,302,731",62%,"$16,124,181",38%,2015.csv,2015
132,The Lady in the Van,"$41,387,687","$10,021,175",24.2%,"$31,366,512",75.8%,2015.csv,2015
133,Ricki and the Flash,"$41,325,328","$26,822,144",64.9%,"$14,503,184",35.1%,2015.csv,2015
134,Carol,"$40,272,135","$12,711,491",31.6%,"$27,560,644",68.4%,2015.csv,2015
135,Northern Limit Line,"$40,034,677","$337,907",0.8%,"$39,696,770",99.2%,2015.csv,2015
136,Criminal,"$38,803,993","$14,708,696",37.9%,"$24,095,297",62.1%,2015.csv,2015
137,Boruto: Naruto the Movie,"$38,362,448","$919,651",2.4%,"$37,442,797",97.6%,2015.csv,2015
138,The Lazarus Effect,"$38,356,892","$25,801,570",67.3%,"$12,555,322",32.7%,2015.csv,2015
139,A Walk in the Woods,"$37,461,274","$29,504,281",78.8%,"$7,956,993",21.2%,2015.csv,2015
140,Ex Machina,"$36,869,414","$25,442,958",69%,"$11,426,456",31%,2015.csv,2015
141,Burnt,"$36,606,743","$13,651,946",37.3%,"$22,954,797",62.7%,2015.csv,2015
142,The Priests,"$36,577,134","$185,093",0.5%,"$36,392,041",99.5%,2015.csv,2015
143,Room,"$35,401,758","$14,677,654",41.5%,"$20,724,104",58.5%,2015.csv,2015
144,Lost and Love,"$34,930,177","$188,817",0.5%,"$34,741,360",99.5%,2015.csv,2015
145,Secret in Their Eyes,"$34,854,990","$20,180,155",57.9%,"$14,674,835",42.1%,2015.csv,2015
146,Steve Jobs,"$34,441,873","$17,766,658",51.6%,"$16,675,215",48.4%,2015.csv,2015
147,Victor Frankenstein,"$34,227,298","$5,775,076",16.9%,"$28,452,222",83.1%,2015.csv,2015
148,The Witness,"$33,963,557","$418,063",1.2%,"$33,545,494",98.8%,2015.csv,2015
149,Project Almanac,"$33,213,241","$22,348,241",67.3%,"$10,865,000",32.7%,2015.csv,2015
150,Dilwale,"$31,994,323","$4,871,263",15.2%,"$27,123,060",84.8%,2015.csv,2015
151,Suffragette,"$31,972,096","$4,702,420",14.7%,"$27,269,676",85.3%,2015.csv,2015
152,Self/less,"$31,807,156","$12,279,691",38.6%,"$19,527,465",61.4%,2015.csv,2015
153,Saving Mr. Wu,"$31,222,161","$92,696",0.3%,"$31,129,465",99.7%,2015.csv,2015
154,Attack on Titan,"$30,810,658","$449,523",1.5%,"$30,361,135",98.5%,2015.csv,2015
155,A Man Called Ove,"$30,691,696","$3,479,315",11.3%,"$27,212,381",88.7%,2015.csv,2015
156,Far from the Madding Crowd,"$30,229,977","$12,236,500",40.5%,"$17,993,477",59.5%,2015.csv,2015
157,Mr. Holmes,"$29,355,203","$17,737,646",60.4%,"$11,617,557",39.6%,2015.csv,2015
158,Love & Mercy,"$28,641,776","$12,551,031",43.8%,"$16,090,745",56.2%,2015.csv,2015
159,The 33,"$27,972,023","$12,227,722",43.7%,"$15,744,301",56.3%,2015.csv,2015
160,Irrational Man,"$27,391,084","$4,030,360",14.7%,"$23,360,724",85.3%,2015.csv,2015
161,Detective K: Secret of the Lost Island,"$27,387,870","$185,367",0.7%,"$27,202,503",99.3%,2015.csv,2015
162,American Ultra,"$27,262,374","$14,440,985",53%,"$12,821,389",47%,2015.csv,2015
163,Aloha,"$26,250,020","$21,067,116",80.3%,"$5,182,904",19.7%,2015.csv,2015
164,Huevos: Little Rooster's Egg-cellent Adventure,"$25,892,561","$9,080,818",35.1%,"$16,811,743",64.9%,2015.csv,2015
165,Wild City,"$24,817,852","$34,866",0.1%,"$24,782,986",99.9%,2015.csv,2015
166,Capture the Flag,"$24,604,331","$6,690",<0.1%,"$24,597,641",100%,2015.csv,2015
167,The Gunman,"$24,177,137","$10,664,749",44.1%,"$13,512,388",55.9%,2015.csv,2015
168,The Dressmaker,"$23,762,417","$2,022,115",8.5%,"$21,740,302",91.5%,2015.csv,2015
169,Amy,"$23,706,049","$8,413,144",35.5%,"$15,292,905",64.5%,2015.csv,2015
170,Youth,"$23,459,358","$2,703,296",11.5%,"$20,756,062",88.5%,2015.csv,2015
171,Solace,"$22,354,572",-,-,"$22,354,572",100%,2015.csv,2015
172,Twenty,"$22,271,862","$136,125",0.6%,"$22,135,737",99.4%,2015.csv,2015
173,Fifty Shades of Black,"$22,227,514","$11,686,940",52.6%,"$10,540,574",47.4%,2015.csv,2015
174,Black or White,"$21,833,967","$21,571,189",98.8%,"$262,778",1.2%,2015.csv,2015
175,Welcome Back,"$21,775,694","$1,388,365",6.4%,"$20,387,329",93.6%,2015.csv,2015
176,It Follows,"$21,528,593","$14,674,076",68.2%,"$6,854,517",31.8%,2015.csv,2015
177,Love Live! The School Idol Movie,"$21,292,009","$115,840",0.5%,"$21,176,169",99.5%,2015.csv,2015
178,The Clan,"$20,381,995","$201,227",1%,"$20,180,768",99%,2015.csv,2015
179,Singh Is Bliing,"$20,224,851","$919,095",4.5%,"$19,305,756",95.5%,2015.csv,2015
180,Brothers,"$19,694,450","$613,775",3.1%,"$19,080,675",96.9%,2015.csv,2015
181,Blackhat,"$19,652,057","$8,005,980",40.7%,"$11,646,077",59.3%,2015.csv,2015
182,Dope,"$17,986,781","$17,506,470",97.3%,"$480,311",2.7%,2015.csv,2015
183,Regression,"$17,671,101","$55,039",0.3%,"$17,616,062",99.7%,2015.csv,2015
184,Neerja,"$17,618,280","$1,585,687",9%,"$16,032,593",91%,2015.csv,2015
185,Little Boy,"$17,572,289","$6,485,961",36.9%,"$11,086,328",63.1%,2015.csv,2015
186,While We're Young,"$17,287,309","$7,587,485",43.9%,"$9,699,824",56.1%,2015.csv,2015
187,Monkey Kingdom,"$16,839,663","$16,432,322",97.6%,"$407,341",2.4%,2015.csv,2015
188,Macbeth,"$16,322,067","$1,110,707",6.8%,"$15,211,360",93.2%,2015.csv,2015
189,Gangnam Blues,"$16,191,434","$18,022",0.1%,"$16,173,412",99.9%,2015.csv,2015
190,Scouts Guide to the Zombie Apocalypse,"$16,137,046","$3,703,046",22.9%,"$12,434,000",77.1%,2015.csv,2015
191,The Brand New Testament,"$15,709,652","$127,910",0.8%,"$15,581,742",99.2%,2015.csv,2015
192,Chronicles of Evil,"$15,460,494","$105,057",0.7%,"$15,355,437",99.3%,2015.csv,2015
193,Our Little Sister,"$15,407,615","$64,441",0.4%,"$15,343,174",99.6%,2015.csv,2015
194,Attack on Titan II: End of the World,"$15,186,410","$305,934",2%,"$14,880,476",98%,2015.csv,2015
195,Tamasha,"$15,159,762","$2,065,487",13.6%,"$13,094,275",86.4%,2015.csv,2015
196,Unfinished Business,"$14,431,253","$10,219,501",70.8%,"$4,211,752",29.2%,2015.csv,2015
197,45 Years,"$14,430,249","$4,247,285",29.4%,"$10,182,964",70.6%,2015.csv,2015
198,Do You Believe?,"$14,410,698","$12,985,600",90.1%,"$1,425,098",9.9%,2015.csv,2015
199,Woodlawn,"$14,401,617","$14,394,097",99.9%,"$7,520",<0.1%,2015.csv,2015
200,The Beauty Inside,"$14,301,869","$108,083",0.8%,"$14,193,786",99.2%,2015.csv,2015
201,Shaandaar,"$14,120,808","$521,794",3.7%,"$13,599,014",96.3%,2015.csv,2015
202,Phantom,"$13,676,590","$489,984",3.6%,"$13,186,606",96.4%,2015.csv,2015
203,Love Forecast,"$13,608,637","$32,211",0.2%,"$13,576,426",99.8%,2015.csv,2015
204,Strange Magic,"$13,603,453","$12,429,583",91.4%,"$1,173,870",8.6%,2015.csv,2015
205,Hot Tub Time Machine 2,"$13,081,651","$12,314,651",94.1%,"$767,000",5.9%,2015.csv,2015
206,The Vatican Tapes,"$13,015,764","$1,784,763",13.7%,"$11,231,001",86.3%,2015.csv,2015
207,Pyaar Ka Punchnama 2,"$12,983,721","$222,856",1.7%,"$12,760,865",98.3%,2015.csv,2015
208,The Wave,"$12,975,143","$177,404",1.4%,"$12,797,739",98.6%,2015.csv,2015
209,Child 44,"$12,951,093","$1,224,330",9.5%,"$11,726,763",90.5%,2015.csv,2015
210,The Green Inferno,"$12,666,449","$7,192,291",56.8%,"$5,474,158",43.2%,2015.csv,2015
211,The Assassin,"$11,991,669","$632,542",5.3%,"$11,359,127",94.7%,2015.csv,2015
212,C'est Si Bon,"$11,750,035","$164,167",1.4%,"$11,585,868",98.6%,2015.csv,2015
213,Trumbo,"$11,430,025","$7,857,741",68.7%,"$3,572,284",31.3%,2015.csv,2015
214,Bajirao Mastani,"$11,350,917","$6,557,047",57.8%,"$4,793,870",42.2%,2015.csv,2015
215,Tomorrow,"$11,277,905","$62,510",0.6%,"$11,215,395",99.4%,2015.csv,2015
216,We Are Your Friends,"$11,122,090","$3,591,417",32.3%,"$7,530,673",67.7%,2015.csv,2015
217,Only You,"$10,857,889","$61,565",0.6%,"$10,796,324",99.4%,2015.csv,2015
218,Danny Collins,"$10,835,752","$5,637,066",52%,"$5,198,686",48%,2015.csv,2015
219,The Phone,"$10,551,318","$40,516",0.4%,"$10,510,802",99.6%,2015.csv,2015
220,A Little Chaos,"$10,084,623","$558,173",5.5%,"$9,526,450",94.5%,2015.csv,2015
221,Me and Earl and the Dying Girl,"$9,074,749","$6,758,416",74.5%,"$2,316,333",25.5%,2015.csv,2015
222,Truman,"$9,027,600","$210,840",2.3%,"$8,816,760",97.7%,2015.csv,2015
223,Marguerite,"$8,754,356","$506,677",5.8%,"$8,247,679",94.2%,2015.csv,2015
224,Our Brand Is Crisis,"$8,527,658","$7,002,261",82.1%,"$1,525,397",17.9%,2015.csv,2015
225,Design for Living,"$8,290,521","$63,675",0.8%,"$8,226,846",99.2%,2015.csv,2015
226,My King,"$8,003,331","$54,114",0.7%,"$7,949,217",99.3%,2015.csv,2015
227,The Ark of Mr Chow,"$7,894,075","$54,075",0.7%,"$7,840,000",99.3%,2015.csv,2015
228,Salut d'Amour,"$7,858,183","$22,480",0.3%,"$7,835,703",99.7%,2015.csv,2015
229,Mia Madre,"$7,723,656","$303,002",3.9%,"$7,420,654",96.1%,2015.csv,2015
230,Lolo,"$7,663,798","$24,134",0.3%,"$7,639,664",99.7%,2015.csv,2015
231,Klovn Forever,"$7,585,569","$5,700",<0.1%,"$7,579,869",99.9%,2015.csv,2015
232,Miss You Already,"$7,573,997","$1,162,653",15.4%,"$6,411,344",84.6%,2015.csv,2015
233,The Advocate: A Missing Body,"$7,550,177","$50,162",0.7%,"$7,500,015",99.3%,2015.csv,2015
234,A Bigger Splash,"$7,545,758","$2,024,099",26.8%,"$5,521,659",73.2%,2015.csv,2015
235,Big Game,"$7,455,398","$24,752",0.3%,"$7,430,646",99.7%,2015.csv,2015
236,I'll See You in My Dreams,"$7,452,512","$7,449,681",100%,"$2,831",<0.1%,2015.csv,2015
237,Grandma,"$7,205,073","$6,980,524",96.9%,"$224,549",3.1%,2015.csv,2015
238,Talvar,"$6,879,098","$342,370",5%,"$6,536,728",95%,2015.csv,2015
239,Baahubali,"$6,787,855","$6,738,000",99.3%,"$49,855",0.7%,2015.csv,2015
240,Wild Card,"$6,738,764",-,-,"$6,738,764",100%,2015.csv,2015
241,Son of Saul,"$6,659,121","$1,777,043",26.7%,"$4,882,078",73.3%,2015.csv,2015
242,The Measure of a Man,"$6,518,931","$112,391",1.7%,"$6,406,540",98.3%,2015.csv,2015
243,The Lobster,"$6,504,366","$376,871",5.8%,"$6,127,495",94.2%,2015.csv,2015
244,A Journey Through Time with Antony,"$6,389,648","$127,381",2%,"$6,262,267",98%,2015.csv,2015
245,Sheng zhe wei wang,"$6,313,827","$163,406",2.6%,"$6,150,421",97.4%,2015.csv,2015
246,Absolutely Anything,"$6,303,792","$20,169",0.3%,"$6,283,623",99.7%,2015.csv,2015
247,She's Funny That Way,"$6,034,851","$111,996",1.9%,"$5,922,855",98.1%,2015.csv,2015
248,Learning to Drive,"$5,967,516","$3,447,633",57.8%,"$2,519,883",42.2%,2015.csv,2015
249,Testament of Youth,"$5,874,883","$1,822,250",31%,"$4,052,633",69%,2015.csv,2015
250,Anomalisa,"$5,659,286","$3,759,286",66.4%,"$1,900,000",33.6%,2015.csv,2015
251,Fathers & Daughters,"$5,587,709",-,-,"$5,587,709",100%,2015.csv,2015
252,Knock Knock,"$5,567,103","$36,336",0.7%,"$5,530,767",99.3%,2015.csv,2015
253,Last Cab to Darwin,"$5,543,036","$34,193",0.6%,"$5,508,843",99.4%,2015.csv,2015
254,Tale of Tales,"$5,497,104","$118,925",2.2%,"$5,378,179",97.8%,2015.csv,2015
255,The Student and Mister Henri,"$5,411,932",$761,<0.1%,"$5,411,171",100%,2015.csv,2015
256,Truth,"$5,383,097","$2,541,854",47.2%,"$2,841,243",52.8%,2015.csv,2015
257,Mustang,"$5,274,664","$845,464",16%,"$4,429,200",84%,2015.csv,2015
258,True Story,"$5,261,595","$4,719,695",89.7%,"$541,900",10.3%,2015.csv,2015
259,Mountains May Depart,"$5,210,160","$82,913",1.6%,"$5,127,247",98.4%,2015.csv,2015
260,MI-5,"$5,161,464",-,-,"$5,161,464",100%,2015.csv,2015
261,Mr. X,"$5,061,387","$44,995",0.9%,"$5,016,392",99.1%,2015.csv,2015
262,Worlds Apart,"$5,011,560","$60,298",1.2%,"$4,951,262",98.8%,2015.csv,2015
263,Back To The Future Day,"$4,850,000","$1,650,000",34%,"$3,200,000",66%,2015.csv,2015
264,90 Minutes in Heaven,"$4,842,699","$4,842,699",100%,-,-,2015.csv,2015
265,A Royal Night Out,"$4,779,170","$228,136",4.8%,"$4,551,034",95.2%,2015.csv,2015
266,Men & Chicken,"$4,765,472","$30,207",0.6%,"$4,735,265",99.4%,2015.csv,2015
267,Sweet Bean,"$4,720,010","$124,800",2.6%,"$4,595,210",97.4%,2015.csv,2015
268,Heneral Luna,"$4,625,639","$206,040",4.5%,"$4,419,599",95.5%,2015.csv,2015
269,Blinky Bill the Movie,"$4,344,536",-,-,"$4,344,536",100%,2015.csv,2015
270,Standing Tall,"$4,323,120","$26,144",0.6%,"$4,296,976",99.4%,2015.csv,2015
271,Tanu Weds Manu Returns,"$4,180,081","$3,043,479",72.8%,"$1,136,602",27.2%,2015.csv,2015
272,Dil Dhadakne Do,"$4,161,630","$3,066,100",73.7%,"$1,095,530",26.3%,2015.csv,2015
273,Katti Batti,"$4,079,135","$364,932",8.9%,"$3,714,203",91.1%,2015.csv,2015
274,A Perfect Day,"$4,009,440","$14,044",0.4%,"$3,995,396",99.6%,2015.csv,2015
275,Taxi,"$3,906,227","$321,642",8.2%,"$3,584,585",91.8%,2015.csv,2015
276,Sweet 20,"$3,810,429","$71,775",1.9%,"$3,738,654",98.1%,2015.csv,2015
277,Summertime,"$3,719,031","$35,322",0.9%,"$3,683,709",99.1%,2015.csv,2015
278,Spare Parts,"$3,701,281","$3,618,912",97.8%,"$82,369",2.2%,2015.csv,2015
279,5 Flights Up,"$3,679,847","$1,020,921",27.7%,"$2,658,926",72.3%,2015.csv,2015
280,A la mala,"$3,646,627","$3,629,842",99.5%,"$16,785",0.5%,2015.csv,2015
281,Ladrones,"$3,504,414","$3,063,505",87.4%,"$440,909",12.6%,2015.csv,2015
282,He Named Me Malala,"$3,433,606","$2,668,936",77.7%,"$764,670",22.3%,2015.csv,2015
283,Rock the Kasbah,"$3,394,174","$3,020,664",89%,"$373,510",11%,2015.csv,2015
284,Mistress America,"$3,340,737","$2,500,431",74.8%,"$840,306",25.2%,2015.csv,2015
285,The Program,"$3,335,613","$13,074",0.4%,"$3,322,539",99.6%,2015.csv,2015
286,By the Sea,"$3,334,927","$538,460",16.1%,"$2,796,467",83.9%,2015.csv,2015
287,Heist,"$3,294,317","$50,136",1.5%,"$3,244,181",98.5%,2015.csv,2015
288,En Équilibre,"$3,242,445","$3,144",<0.1%,"$3,239,301",99.9%,2015.csv,2015
289,Sleeping with Other People,"$3,224,947","$819,431",25.4%,"$2,405,516",74.6%,2015.csv,2015
290,Embrace of the Serpent,"$3,217,176","$1,329,249",41.3%,"$1,887,927",58.7%,2015.csv,2015
291,I,"$3,200,113","$1,449,232",45.3%,"$1,750,881",54.7%,2015.csv,2015
292,Victoria,"$3,191,971",-,-,"$3,191,971",100%,2015.csv,2015
293,Empire of Lust,"$3,191,168","$10,654",0.3%,"$3,180,514",99.7%,2015.csv,2015
294,Land of Mine,"$3,169,553","$435,266",13.7%,"$2,734,287",86.3%,2015.csv,2015
295,The People Vs. Fritz Bauer,"$3,083,973","$288,483",9.4%,"$2,795,490",90.6%,2015.csv,2015
296,The End of the Tour,"$3,072,991","$3,002,884",97.7%,"$70,107",2.3%,2015.csv,2015
297,Jane Got a Gun,"$3,067,531","$1,513,793",49.3%,"$1,553,738",50.7%,2015.csv,2015
298,Remember,"$3,054,936","$547,009",17.9%,"$2,507,927",82.1%,2015.csv,2015
299,The Second Mother,"$3,003,560","$376,986",12.6%,"$2,626,574",87.4%,2015.csv,2015
300,The Last: Naruto the Movie,"$2,949,185","$524,451",17.8%,"$2,424,734",82.2%,2015.csv,2015
301,Captive,"$2,801,508","$2,583,301",92.2%,"$218,207",7.8%,2015.csv,2015
302,Chi-Raq,"$2,719,699","$2,653,032",97.5%,"$66,667",2.5%,2015.csv,2015
303,Piku,"$2,452,343","$1,801,807",73.5%,"$650,536",26.5%,2015.csv,2015
304,The Oscar Nominated Short Films 2015: Live Action,"$2,412,593","$2,412,593",100%,-,-,2015.csv,2015
305,Cake,"$2,360,281","$1,951,776",82.7%,"$408,505",17.3%,2015.csv,2015
306,Memories of the Sword,"$2,345,062","$111,071",4.7%,"$2,233,991",95.3%,2015.csv,2015
307,Meru,"$2,334,228","$2,334,228",100%,-,-,2015.csv,2015
308,Jem and the Holograms,"$2,333,684","$2,184,640",93.6%,"$149,044",6.4%,2015.csv,2015
309,WARx2,"$2,310,625","$2,310,625",100%,-,-,2015.csv,2015
310,My All-American,"$2,246,000","$2,246,000",100%,-,-,2015.csv,2015
311,Goodnight Mommy,"$2,193,474","$1,178,196",53.7%,"$1,015,278",46.3%,2015.csv,2015
312,The Benefactor,"$2,159,380",-,-,"$2,159,380",100%,2015.csv,2015
313,A Fool,"$2,067,820","$8,212",0.4%,"$2,059,608",99.6%,2015.csv,2015
314,Diary of a Chambermaid,"$1,971,247","$54,235",2.8%,"$1,917,012",97.2%,2015.csv,2015
315,Old Fashioned,"$1,914,090","$1,914,090",100%,-,-,2015.csv,2015
316,Game of Thrones Season 4 Finale,"$1,896,092","$1,896,092",100%,-,-,2015.csv,2015
317,The Hallow,"$1,862,407","$13,906",0.7%,"$1,848,501",99.3%,2015.csv,2015
318,99 Homes,"$1,828,232","$1,411,927",77.2%,"$416,305",22.8%,2015.csv,2015
319,Rams,"$1,826,583","$149,250",8.2%,"$1,677,333",91.8%,2015.csv,2015
320,Infinitely Polar Bear,"$1,824,678","$1,430,655",78.4%,"$394,023",21.6%,2015.csv,2015
321,The Diary of a Teenage Girl,"$1,775,133","$1,477,002",83.2%,"$298,131",16.8%,2015.csv,2015
322,Dior and I,"$1,769,832","$1,028,953",58.1%,"$740,879",41.9%,2015.csv,2015
323,Meet the Patels,"$1,700,681","$1,700,681",100%,-,-,2015.csv,2015
